"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","3454  ","晶睿            ","586,000","242,000","344,000","0","0","0","586,000","242,000","344,000",
" ",="00898 ","國泰基因免疫革命","341,000","0","341,000","0","0","0","341,000","0","341,000",
" ",="049162","長榮航法興2C購04","340,000","0","340,000","0","0","0","340,000","0","340,000",
" ","2610  ","華航            ","19,258,435","18,923,005","335,430","0","0","0","19,258,435","18,923,005","335,430",
" ","1589  ","永冠-KY         ","1,296,000","969,000","327,000","0","0","0","1,296,000","969,000","327,000",
" ","2413  ","環科            ","505,000","178,000","327,000","0","0","0","505,000","178,000","327,000",
" ","6790  ","永豐實          ","398,000","72,000","326,000","0","0","0","398,000","72,000","326,000",
" ","2332  ","友訊            ","3,704,000","3,385,000","319,000","0","0","0","3,704,000","3,385,000","319,000",
" ","2393  ","億光            ","594,000","277,000","317,000","0","0","0","594,000","277,000","317,000",
" ","1762  ","中化生          ","979,000","664,000","315,000","0","0","0","979,000","664,000","315,000",
" ","5533  ","皇鼎            ","478,000","167,000","311,000","0","0","0","478,000","167,000","311,000",
" ","2439  ","美律            ","325,000","23,208","301,792","0","0","0","325,000","23,208","301,792",
" ","1447  ","力鵬            ","373,000","72,000","301,000","0","0","0","373,000","72,000","301,000",
" ","1760  ","寶齡富錦        ","775,000","476,000","299,000","0","0","0","775,000","476,000","299,000",
" ","6257  ","矽格            ","430,000","132,000","298,000","0","0","0","430,000","132,000","298,000",
" ","4564  ","元翎            ","760,000","464,000","296,000","0","0","0","760,000","464,000","296,000",
" ","6214  ","精誠            ","688,000","393,000","295,000","0","0","0","688,000","393,000","295,000",
" ","2388  ","威盛            ","2,250,000","1,965,000","285,000","0","0","0","2,250,000","1,965,000","285,000",
" ","1727  ","中華化          ","592,000","308,200","283,800","0","0","0","592,000","308,200","283,800",
" ","3024  ","憶聲            ","414,000","134,000","280,000","0","0","0","414,000","134,000","280,000",
" ","5706  ","鳳凰            ","1,309,000","1,035,000","274,000","0","0","0","1,309,000","1,035,000","274,000",
" ",="00895 ","富邦未來車      ","404,000","131,100","272,900","0","0","0","404,000","131,100","272,900",
" ","1611  ","中電            ","398,000","128,000","270,000","0","0","0","398,000","128,000","270,000",
" ","2442  ","新美齊          ","392,000","122,000","270,000","0","0","0","392,000","122,000","270,000",
" ","3014  ","聯陽            ","420,000","155,000","265,000","0","0","0","420,000","155,000","265,000",
" ","2645  ","長榮航太        ","383,000","119,000","264,000","0","0","0","383,000","119,000","264,000",
" ","3607  ","谷崧            ","389,000","125,000","264,000","0","0","0","389,000","125,000","264,000",
" ","6477  ","安集            ","324,000","64,000","260,000","0","0","0","324,000","64,000","260,000",
" ","4108  ","懷特            ","277,000","22,000","255,000","0","0","0","277,000","22,000","255,000",
" ","2368  ","金像電          ","2,398,048","2,143,300","254,748","0","0","0","2,398,048","2,143,300","254,748",
" ","1808  ","潤隆            ","460,000","208,000","252,000","0","0","0","460,000","208,000","252,000",
" ","3257  ","虹冠電          ","364,000","112,000","252,000","0","0","0","364,000","112,000","252,000",
" ","2705  ","六福            ","1,044,538","793,000","251,538","0","0","0","1,044,538","793,000","251,538",
" ","3694  ","海華            ","404,000","157,000","247,000","0","0","0","404,000","157,000","247,000",
" ","3010  ","華立            ","596,000","350,840","245,160","0","0","0","596,000","350,840","245,160",
" ","6550  ","北極星藥業-KY   ","766,000","521,000","245,000","0","0","0","766,000","521,000","245,000",
" ",="00706L","期元大S&P日圓正2","393,000","151,000","242,000","0","0","0","393,000","151,000","242,000",
" ","2889  ","國票金          ","1,109,000","868,000","241,000","0","0","0","1,109,000","868,000","241,000",
" ","2412  ","中華電          ","2,766,251","2,525,681","240,570","0","0","0","2,766,251","2,525,681","240,570",
" ","3092  ","鴻碩            ","383,000","143,000","240,000","0","0","0","383,000","143,000","240,000",
" ","4155  ","訊映            ","2,581,000","2,342,000","239,000","0","0","0","2,581,000","2,342,000","239,000",
" ","2349  ","錸德            ","363,000","127,000","236,000","0","0","0","363,000","127,000","236,000",
" ","8011  ","台通            ","409,000","173,000","236,000","0","0","0","409,000","173,000","236,000",
" ","1810  ","和成            ","471,000","240,000","231,000","0","0","0","471,000","240,000","231,000",
" ",="00881 ","國泰台灣5G+     ","775,000","544,200","230,800","0","0","0","775,000","544,200","230,800",
" ","5306  ","桂盟            ","251,000","21,000","230,000","0","0","0","251,000","21,000","230,000",
" ","3305  ","昇貿            ","323,000","95,000","228,000","0","0","0","323,000","95,000","228,000",
" ","1402  ","遠東新          ","2,548,277","2,321,000","227,277","0","0","0","2,548,277","2,321,000","227,277",
" ","9103  ","美德醫療-DR     ","227,000","0","227,000","0","0","0","227,000","0","227,000",
" ","2369  ","菱生            ","270,000","47,000","223,000","0","0","0","270,000","47,000","223,000",
" ",="00897 ","富邦基因免疫生技","220,000","0","220,000","0","0","0","220,000","0","220,000",
" ","2106  ","建大            ","266,000","46,000","220,000","0","0","0","266,000","46,000","220,000",
" ","6657  ","華安            ","220,000","1,000","219,000","0","0","0","220,000","1,000","219,000",
" ","1201  ","味全            ","253,000","37,000","216,000","0","0","0","253,000","37,000","216,000",
" ","1337  ","再生-KY         ","768,000","552,000","216,000","0","0","0","768,000","552,000","216,000",
" ",="048508","鴻海法興2C購02  ","899,000","684,000","215,000","0","0","0","899,000","684,000","215,000",
" ","3701  ","大眾控          ","672,000","457,000","215,000","0","0","0","672,000","457,000","215,000",
" ","2392  ","正崴            ","488,000","277,000","211,000","0","0","0","488,000","277,000","211,000",
" ","2030  ","彰源            ","303,000","94,000","209,000","0","0","0","303,000","94,000","209,000",
" ","1504  ","東元            ","3,679,000","3,471,000","208,000","0","0","0","3,679,000","3,471,000","208,000",
" ","2897  ","王道銀行        ","243,000","36,000","207,000","0","0","0","243,000","36,000","207,000",
" ","2425  ","承啟            ","1,525,000","1,321,000","204,000","0","0","0","1,525,000","1,321,000","204,000",
" ","1568  ","倉佑            ","240,000","38,000","202,000","0","0","0","240,000","38,000","202,000",
" ","3059  ","華晶科          ","390,000","188,000","202,000","0","0","0","390,000","188,000","202,000",
" ","3583  ","辛耘            ","973,000","771,000","202,000","0","0","0","973,000","771,000","202,000",
" ","1440  ","南紡            ","224,000","23,000","201,000","0","0","0","224,000","23,000","201,000",
" ",="036150","聯電法興28購01  ","200,000","0","200,000","0","0","0","200,000","0","200,000",
" ","2906  ","高林            ","1,364,000","1,164,000","200,000","0","0","0","1,364,000","1,164,000","200,000",
" ","4976  ","佳凌            ","370,000","171,000","199,000","0","0","0","370,000","171,000","199,000",
" ","2359  ","所羅門          ","657,000","459,000","198,000","0","0","0","657,000","459,000","198,000",
" ","3062  ","建漢            ","546,000","349,000","197,000","0","0","0","546,000","349,000","197,000",
" ","2481  ","強茂            ","395,000","200,000","195,000","0","0","0","395,000","200,000","195,000",
" ","2450  ","神腦            ","196,000","2,000","194,000","0","0","0","196,000","2,000","194,000",
" ",="00917 ","中信特選金融    ","190,000","0","190,000","0","0","0","190,000","0","190,000",
" ","3050  ","鈺德            ","242,000","54,000","188,000","0","0","0","242,000","54,000","188,000",
" ","2511  ","太子            ","283,229","96,000","187,229","0","0","0","283,229","96,000","187,229",
"*","2377  ","微星            ","2,713,055","2,527,018","186,037","0","0","0","2,713,055","2,527,018","186,037",
" ","1442  ","名軒            ","303,000","117,000","186,000","0","0","0","303,000","117,000","186,000",
" ","2812  ","台中銀          ","240,000","54,000","186,000","0","0","0","240,000","54,000","186,000",
" ",="00891 ","中信關鍵半導體  ","534,000","351,000","183,000","0","0","0","534,000","351,000","183,000",
" ","1737  ","臺鹽            ","202,000","21,000","181,000","0","0","0","202,000","21,000","181,000",
" ","1734  ","杏輝            ","528,000","350,062","177,938","0","0","0","528,000","350,062","177,938",
" ","2880  ","華南金          ","4,892,000","4,715,000","177,000","0","0","0","4,892,000","4,715,000","177,000",
" ","6669  ","緯穎            ","467,000","291,344","175,656","0","0","0","467,000","291,344","175,656",
" ","1710  ","東聯            ","713,000","539,000","174,000","0","0","0","713,000","539,000","174,000",
" ","2482  ","連宇            ","702,000","534,000","168,000","0","0","0","702,000","534,000","168,000",
" ","3592  ","瑞鼎            ","732,000","568,000","164,000","0","0","0","732,000","568,000","164,000",
" ","6120  ","達運            ","180,000","18,000","162,000","0","0","0","180,000","18,000","162,000",
" ","2379  ","瑞昱            ","950,448","790,145","160,303","0","0","0","950,448","790,145","160,303",
" ","8249  ","菱光            ","172,000","14,000","158,000","0","0","0","172,000","14,000","158,000",
" ",="035663","世紀鋼法興28購01","156,000","0","156,000","0","0","0","156,000","0","156,000",
" ",="045532","日月光法興2B購03","156,000","0","156,000","0","0","0","156,000","0","156,000",
" ","1210  ","大成            ","344,000","188,000","156,000","0","0","0","344,000","188,000","156,000",
" ","6743  ","安普新          ","718,903","564,000","154,903","0","0","0","718,903","564,000","154,903",
" ","2441  ","超豐            ","297,000","143,000","154,000","0","0","0","297,000","143,000","154,000",
" ","1708  ","東鹼            ","180,000","28,000","152,000","0","0","0","180,000","28,000","152,000",
" ","3714  ","富采            ","608,000","457,820","150,180","0","0","0","608,000","457,820","150,180",
" ","2478  ","大毅            ","156,000","6,000","150,000","0","0","0","156,000","6,000","150,000",
" ","2428  ","興勤            ","220,000","71,000","149,000","0","0","0","220,000","71,000","149,000",
" ","6189  ","豐藝            ","161,000","13,000","148,000","0","0","0","161,000","13,000","148,000",
" ","9917  ","中保科          ","319,100","174,000","145,100","0","0","0","319,100","174,000","145,100",
" ",="037392","聯詠法興28購03  ","187,000","42,000","145,000","0","0","0","187,000","42,000","145,000",
" ","2536  ","宏普            ","164,000","19,000","145,000","0","0","0","164,000","19,000","145,000",
" ",="040648","日月光法興2A購01","299,000","156,000","143,000","0","0","0","299,000","156,000","143,000",
" ",="046686","日月光法興2B購04","231,000","88,000","143,000","0","0","0","231,000","88,000","143,000",
" ","3712  ","永崴投控        ","231,000","89,000","142,000","0","0","0","231,000","89,000","142,000",
" ","2731  ","雄獅            ","673,000","531,762","141,238","0","0","0","673,000","531,762","141,238",
" ","2351  ","順德            ","580,000","440,060","139,940","0","0","0","580,000","440,060","139,940",
" ","1313  ","聯成            ","492,000","353,000","139,000","0","0","0","492,000","353,000","139,000",
" ","6216  ","居易            ","185,000","46,000","139,000","0","0","0","185,000","46,000","139,000",
" ","2614  ","東森            ","138,000","1,000","137,000","0","0","0","138,000","1,000","137,000",
" ","8478  ","東哥遊艇        ","382,080","246,000","136,080","0","0","0","382,080","246,000","136,080",
" ",="00648R","元大S&P500反1   ","150,000","16,000","134,000","0","0","0","150,000","16,000","134,000",
